leftXQBH,worker
-1,349.062702004
1,165.912518854
2,51.7129928895
3,19.3923723335
4,103.425985779
5,137.901314372
6,157.293686705
7,2.15470803706
8,49.5582848524
9,28.0112044818
10,155.138978668
11,140.056022409
12,19.3923723335
13,32.3206205559
14,66.7959491489
15,49.5582848524
16,124.97306615
17,200.387847447
18,10.7735401853
19,32.3206205559
20,351.217410041
21,15.0829562594
22,142.210730446
23,114.199525964
24,129.282482224
25,23.7017884077
26,66.7959491489
27,144.365438483
28,21.5470803706
29,53.8677009265
30,15.0829562594
31,21.5470803706
33,77.5694893342
34,77.5694893342
35,258.564964447
36,40.9394527042
37,23.7017884077
38,53.8677009265
39,265.029088559
40,140.056022409
41,51.7129928895
42,124.97306615
43,10.7735401853
44,6.46412411118
45,47.4035768153
46,23.7017884077
47,28.0112044818
48,96.9618616677
49,103.425985779
50,15.0829562594
51,183.15018315
52,118.508942038
53,45.2488687783
54,271.49321267
55,8.61883214824
56,17.2376642965
57,6.46412411118
59,170.221934928
60,90.4977375566
61,34.475328593
62,21.5470803706
63,51.7129928895
64,137.901314372
65,10.7735401853
66,21.5470803706
67,73.2600732601
68,398.620986856
69,77.5694893342
70,114.199525964
71,2.15470803706
72,163.757810817
73,172.376642965
74,105.580693816
76,68.950657186
77,189.614307261
78,34.475328593
79,301.659125189
80,150.829562594
81,15.0829562594
82,21.5470803706
83,86.1883214824
84,209.006679595
85,28.0112044818
86,49.5582848524
87,157.293686705
88,12.9282482224
89,4.30941607412
90,10.7735401853
91,176.686059039
92,77.5694893342
93,109.89010989
94,120.663650075
95,34.475328593
96,94.8071536307
97,8.61883214824
98,49.5582848524
99,43.0941607412
100,19.3923723335
101,191.769015298
103,64.6412411118
104,131.437190261
105,45.2488687783
106,103.425985779
107,10.7735401853
108,32.3206205559
109,38.7847446671
110,12.9282482224
111,234.86317604
112,325.360913596
113,165.912518854
114,262.874380521
115,10.7735401853
116,226.244343891
117,81.8789054083
119,58.1771170006
120,273.647920707
121,79.7241973713
122,21.5470803706
123,221.934927817
124,32.3206205559
